Reference Body,Name,LAN,AOP,SMA,Inclination,Eccentricity,Mass,Radius
HD 103197,HD 103197 b,338.9,14.3,3739946767.5,,0.000000,1.7083169999999998e+24,
HD 103720,HD 103720 b,174.1,6.7,744997396.086,,0.086000,1.1768405999999999e+25,
HD 103774,HD 103774 b,186.2,0.7,1047185094.9000001,,0.090000,6.9661371e+24,
HD 104067,HD 104067 b,285.9,8.1,3889544638.2000003,,0.000000,3.037008e+24,
HD 104985,HD 104985 b,189.9,10.2,14211797716.5,,0.090000,1.5754479000000002e+26,
HD 106252,HD 106252 b,209.1,4.4,39045044252.7,,0.480000,1.31540409e+26,
HD 106270,HD 106270 b,87.3,5.6,49965688813.799995,,0.185000,1.9228056900000002e+26,
HD 106515 A,HD 106515 A b,74.8,13.4,68665422651.299995,,0.572000,1.8241029299999998e+26,
HD 106906,HD 106906 b,210.1,12.8,9723861595500.0,,,2.087943e+26,
HD 107148,HD 107148 b,91.9,3.0,4024182721.8300004,,0.050000,3.9860729999999997e+24,
HD 108147,HD 108147 b,1.0,10.0,1525898281.1399999,,0.530000,4.9541193e+24,
HD 108341,HD 108341 b,134.6,14.4,29919574140.0,,0.850000,6.643455e+25,
HD 108863,HD 108863 b,345.4,1.5,19746918932.4,,0.032000,4.58208582e+25,
HD 108874,HD 108874 b,329.2,4.0,15558178552.800001,,0.130000,2.6953445999999997e+25,
HD 108874,HD 108874 c,208.9,5.5,39778073819.13,,0.239000,1.8791487e+25,
HD 109246,HD 109246 b,188.4,9.9,4936729733.1,,0.120000,1.6323918e+25,
HD 109271,HD 109271 b,13.2,1.6,1181823178.53,,0.250000,1.0249902e+24,
